wpc_extenditem_sid,class,remark01,remark02,remark03,remark04,remark05,remark06,remark07,remark08,remark09,remark10,userid,updatetime,tag,
	200812021354377946,	JCODE,	CRD,	AL,	0.0000,	0.0000,	0.0000,	CHANGE ROUTE DJUNK TRIM,	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:37,	3,
	200812021354377950,	JCODE,	CS,	AL,	0.0000,	0.0000,	0.0000,	CHIP SHORTAGE(缺晶粒),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:37,	3,
	200812021354398041,	JCODE,	DJ,	AL,	0.0000,	0.0000,	0.0000,	DJUNK,	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:39,	3,
	200812021354398045,	JCODE,	DPL,	AL,	0.0000,	0.0000,	0.0000,	DS LCDD,	BGN-ENG,	,	,	,	Loader,	2008/12/02 13:54:39,	3,
	200812021354398063,	JCODE,	EAN,	AL,	0.0000,	0.0000,	0.0000,	EE analysis NG sheet,	BGN-ENG,	,	,	,	Loader,	2008/12/02 13:54:39,	3,
	200812021354398066,	JCODE,	EE,	AL,	0.0000,	0.0000,	0.0000,	ENG CODE FOR MAINT. ENGINEER,	BGN-ENG,	,	,	,	Loader,	2008/12/02 13:54:39,	3,
	200812021354408068,	JCODE,	EH,	AL,	0.0000,	0.0000,	0.0000,	Error handling(異常處理),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:40,	3,
	200812021354408070,	JCODE,	ENG,	AL,	0.0000,	0.0000,	0.0000,	工程師研判(ENG DISTINGUISH),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:40,	3,
	200812021354408080,	JCODE,	ET,	AL,	0.0000,	0.0000,	0.0000,	設備檢驗(EQ TEST),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:40,	3,
	200812021354418126,	JCODE,	FS,	AL,	0.0000,	0.0000,	0.0000,	廠務停機(FACILITY SHUTDOWN),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:41,	3,
	200812021354428162,	JCODE,	GW,	AL,	0.0000,	0.0000,	0.0000,	缺金線(G/W SHORTAGE),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:42,	3,
	200812021354438233,	JCODE,	ITM,	AL,	0.0000,	0.0000,	0.0000,	連線問題造成停機(STOP BY ITM),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:43,	3,
	200812021354448248,	JCODE,	LA,	AL,	0.0000,	0.0000,	0.0000,	其它排線問題(LINE ARRANGEMENT),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:44,	3,
	200812021354458286,	JCODE,	LF,	AL,	0.0000,	0.0000,	0.0000,	缺L/F(L/F SHORTAGE),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:45,	3,
	200812021354458293,	JCODE,	LG,	AL,	0.0000,	0.0000,	0.0000,	Use LCDD DFD651 to run COG,	BGN-ENG,	,	,	,	Loader,	2008/12/02 13:54:45,	3,
	200812021354478376,	JCODE,	MAG,	AL,	0.0000,	0.0000,	0.0000,	缺盒子(MAGAZINE SHORTAGE),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:47,	3,
	200812021354478398,	JCODE,	ME,	AL,	0.0000,	0.0000,	0.0000,	移機,	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:47,	3,
	200812021354488442,	JCODE,	MS,	AL,	0.0000,	0.0000,	0,	Wait Measure,	BGN-STOP,	,	,	,	EES01,	2010/02/08 13:45:04,	4,
	200812021354498451,	JCODE,	MT,	AL,	0.0000,	0.0000,	0.0000,	開會(MEETING),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:49,	3,
	200812021354508516,	JCODE,	OT,	AL,	0.0000,	0.0000,	0.0000,	其它原因(OTHER),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:50,	3,
	200812021354518537,	JCODE,	PAN,	AL,	0.0000,	0.0000,	0.0000,	PE analysis NG,	BGN-ENG,	,	,	,	Loader,	2008/12/02 13:54:51,	3,
	200812021354518539,	JCODE,	PAT,	AL,	0.0000,	0.0000,	0.0000,	PARTY,	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:51,	3,
	200812021354518552,	JCODE,	PCR,	AL,	0.0000,	0.0000,	0.0000,	PE confirm recipe,	BGN-ENG,	,	,	,	Loader,	2008/12/02 13:54:51,	3,
	200812021354518565,	JCODE,	PE,	AL,	0.0000,	0.0000,	0.0000,	ENG CODE FOR PROCESS ENGINEER,	BGN-ENG,	,	,	,	Loader,	2008/12/02 13:54:51,	3,
	200812021354518572,	JCODE,	PL,	AL,	0.0000,	0.0000,	0.0000,	政策性停機(POLICY STOP),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:51,	3,
	200812021354518577,	JCODE,	PLS,	AL,	0.0000,	0.0000,	0.0000,	PLASMA(洗電漿),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:51,	3,
	200812021354528599,	JCODE,	PPL,	AL,	0.0000,	0.0000,	0.0000,	P/P LCDD,	BGN-ENG,	,	,	,	Loader,	2008/12/02 13:54:52,	3,
	200812021354548682,	JCODE,	QT,	AL,	0.0000,	0.0000,	0.0000,	品質檢驗(QC TEST),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:54,	3,
	200812021354548687,	JCODE,	RA,	AL,	0.0000,	0.0000,	0.0000,	RELIABILITY ANALYSIS,	BGN-ENG,	,	,	,	Loader,	2008/12/02 13:54:54,	3,
	200812021354558714,	JCODE,	RCT,	AL,	0.0000,	0.0000,	0.0000,	重新點量(RECOUNTING),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:55,	3,
	200812021354558729,	JCODE,	RL,	AL,	0.0000,	0.0000,	0.0000,	缺REEL (REEL SHORTAGE),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:55,	3,
	200812021354558747,	JCODE,	RS,	AL,	0.0000,	0.0000,	0.0000,	缺樹脂(RESIN SHORTAGE),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:55,	3,
	200812021354558750,	JCODE,	RSP,	AL,	0.0000,	0.0000,	0.0000,	缺SPACER(SPACER SHORTAGE),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:55,	3,
	200812021354568757,	JCODE,	RT,	AL,	0.0000,	0.0000,	0.0000,	休息,	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:56,	3,
	200812021354568767,	JCODE,	RV,	AL,	0.0000,	0.0000,	0.0000,	Review Low Yield,	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:56,	3,
	200812021354578805,	JCODE,	SCT,	AL,	0.0000,	0.0000,	0.0000,	SHIFT CHANGE TIME(交接時間),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:57,	3,
	200812021354578810,	JCODE,	SE,	AL,	0.0000,	0.0000,	0.0000,	缺銀膠(S/E SHORTAGE),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:57,	3,
	200812021354598874,	JCODE,	STK,	AL,	0.0000,	0.0000,	0.0000,	盤點停機(STOCKTAKING),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:54:59,	3,
	200812021355008933,	JCODE,	TLS,	AL,	0.0000,	0.0000,	0.0000,	缺冶具(TOOL SHORTAGE),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:55:00,	3,
	200812021355008940,	JCODE,	TMT,	AL,	0.0000,	0.0000,	0.0000,	TOP MARK TEMP.,	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:55:00,	3,
	200812021355018944,	JCODE,	TP,	AL,	0.0000,	0.0000,	0.0000,	Tactical production,	BGN-ENG,	,	,	,	Loader,	2008/12/02 13:55:01,	3,
	200812021355018967,	JCODE,	TPS,	AL,	0.0000,	0.0000,	0.0000,	修機停機(Takaya potting stop),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:55:01,	3,
	200812021355018977,	JCODE,	TRM,	AL,	0.0000,	0.0000,	0.0000,	MFG-Training,	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:55:01,	3,
	200812021355018978,	JCODE,	TRY,	AL,	0.0000,	0.0000,	0.0000,	缺TRAY盤(TRAY SHORTAGE),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:55:01,	3,
	200812021355049102,	JCODE,	VS,	AL,	0.0000,	0.0000,	0.0000,	Vendor Service,	BGN-ENG,	,	,	,	Loader,	2008/12/02 13:55:04,	3,
	200904141630398878,	JCODE,	PC,	AL,	,	0.0000,	0,	Products Check,	BGN-STOP,	,	,	,	EES01,	2010/02/08 13:44:11,	3,
	200812021354317699,	JCODE,	APL,	AL,	0.0000,	0.0000,	0.0000,	AOI Process LCDD,	BGN-ENG,	,	,	,	Loader,	2008/12/02 13:54:31,	3,
	200812021355069156,	JCODE,	WLS,	AL,	0.0000,	0.0000,	0,	Wait L/S,	BGN-STOP,	,	,	,	13898,	2020/02/25 17:45:55,	1018850312,
	200812021355079184,	JCODE,	WPL,	AL,	0.0000,	0.0000,	0.0000,	WM LCDD,	BGN-ENG,	,	,	,	Loader,	2008/12/02 13:55:07,	3,
	200812021355079191,	JCODE,	WT,	AL,	0.0000,	0.0000,	0.0000,	Wait Taping(待貼片),	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:55:07,	3,
	200812021355079199,	JCODE,	WUV,	AL,	0.0000,	0.0000,	0.0000,	Wait UV,	BGN-STOP,	,	,	,	Loader,	2008/12/02 13:55:07,	3,
	200902251614419370,	JCODE,	PM,	AL,	,	0.0,	5,	PM(品質保養),	BGN-ENG,	,	,	,	EES01,	2009/02/25 16:19:30,	1,
	200910200844317399,	JCODE,	WMC,	AL,	,	0.0,	0,	Wait L/F For MC,	BGN-STOP,	,	,	,	EES01,	2009/10/20 08:46:17,	1,
	200910200846318589,	JCODE,	TW,	AL,	,	0.00,	0,	暫掛帳,	BGN-STOP,	,	,	,	EES01,	2009/10/20 08:47:33,	1,
	200911111729203030,	JCODE,	RDM,	AL,	,	0.0000,	0,	Repair defect (Mark),	BGN-STOP,	,	,	,	EES01,	2009/11/11 17:29:59,	1,
	200911111730083454,	JCODE,	RDD,	AL,	,	0.0000,	0,	Repair defect (Damage),	BGN-STOP,	,	,	,	EES01,	2009/11/11 17:30:35,	1,
	200911111730433771,	JCODE,	RDW,	AL,	,	0.0000,	0,	Repair defect (Warpage),	BGN-STOP,	,	,	,	EES01,	2009/11/11 17:31:02,	1,
	200911111731094042,	JCODE,	RDE,	AL,	,	0.0000,	0,	Repair defect (Empty),	BGN-STOP,	,	,	,	EES01,	2009/11/11 17:31:33,	1,
	201002031336244371,	JCODE,	WRD,	AL,	,	0.0000,	0,	Wait-RD,	BGN-STOP,	,	,	,	EES01,	2010/02/08 13:42:56,	3,
	201007161710299125,	JCODE,	DTR,	AL,	,	0.0000,	0,	Dummy Try Run,	BGN-STOP,	,	,	,	EES01,	2010/07/20 16:48:22,	3,
	201007201614553673,	JCODE,	MTR,	AL,	,	0.00,	9,	Measure Thick&Roug.,	BGN-STOP,	,	,	,	16919,	2020/02/19 16:29:42,	1016669106,
	201010121316133532,	JCODE,	CO,	AL,	,	0.0,	9,	CO2 Resistivity Checking,	BGN-STOP,	,	,	,	13898,	2017/01/04 14:21:07,	638229503,
	201103291535264984,	JCODE,	RC,	AL,	,	0.0,	9,	Re-clean,	BGN-STOP,	,	,	,	EES01,	2011/03/29 15:36:01,	1,
	201205101623278115,	JCODE,	RWS,	AL,	,	0.0000,	0,	Re-Work Sub-lot,	BGN-ENG,	,	,	,	EES01,	2012/05/10 16:24:02,	1,
	201806121733379407,	JCODE,	DA,	AL,	,	0.0,	5,	Lot end Low yield分析;需執行GU,	BGN-ENG,	,	,	,	25205,	2020/08/31 17:31:44,	1082889365,
	201806121736221136,	JCODE,	PT,	AL,	,	0.0,	0,	PT作業中電性/外觀Low yield  analysis,	BGN-ENG,	,	,	,	13898,	2018/06/12 17:39:45,	808228114,
	201106151141228060,	JCODE,	WEE,	AL,	,	0.0000,	0,	WAIT E.E.,	BGN-ENG,	,	,	,	Admin,	2011/06/16 18:21:05,	65549812,
	201307261307129656,	JCODE,	MGD,	AL,	,	0.0,	0,	Manual Grinding,	BGN-STOP,	,	,	,	EES01,	2013/08/12 16:48:21,	257528717,
	201307261308170342,	JCODE,	MCT,	AL,	,	0.0,	0,	Manual cutting,	BGN-ENG,	,	,	,	EES01,	2014/03/05 08:25:41,	313175192,
	201307261309180835,	JCODE,	RMT,	AL,	,	0.0,	0,	Remount,	BGN-STOP,	,	,	,	EES01,	2013/08/12 16:52:09,	257529422,
	201307261310021183,	JCODE,	RTP,	AL,	,	0.0,	0,	Retapping,	BGN-STOP,	,	,	,	EES01,	2013/08/12 16:52:31,	257529498,
	201207051144356329,	JCODE,	ETP,	AL,	,	0.0,	5,	Edit epoxy thickness program,	BGN-SETUP,	,	,	,	EES01,	2012/07/05 11:45:23,	1,
	201207130829077355,	JCODE,	MIR,	AL,	,	0.0000,	0,	Manual IR(手動過迴銲爐),	BGN-STOP,	,	,	,	EES01,	2012/07/13 08:30:09,	1,
	201207130830208270,	JCODE,	WC,	AL,	,	0.0000,	0,	水洗,	BGN-STOP,	,	,	,	EES01,	2012/07/13 08:31:22,	1,
	201301280953480427,	JCODE,	INK,	AL,	,	0.0000,	0,	INK  (製作INK DIE ),	BGN-STOP,	,	,	,	Admin,	2013/01/28 16:40:47,	202857256,
	201304171019167736,	JCODE,	RID,	AL,	,	0.0000,	0,	重新掃Wafer ID Station,	BGN-STOP,	,	,	,	EES01,	2013/04/17 10:21:04,	223821999,
	201802091331043171,	JCODE,	DCR,	AL,	,	0.0,	0,	測試板D/B & L/B correlation,	BGN-ENG,	,	,	,	13898,	2018/06/12 17:38:39,	808227883,
	201304181405388512,	JCODE,	EQC,	AL,	,	0.0000,	9,	EQC low yield,	BGN-ENG,	,	,	,	25205,	2020/11/26 15:18:14,	1115049442,
	201306171624434764,	JCODE,	R2E,	AL,	,	0.0000,	0,	RT2 of EE,	BGN-ENG,	,	,	,	EES01,	2013/06/17 16:25:44,	240704076,
	201306171625465647,	JCODE,	R2P,	AL,	,	0.0000,	0,	RT2 of PE,	BGN-ENG,	,	,	,	EES01,	2013/06/17 16:26:17,	1,
	201306171626216118,	JCODE,	R2T,	AL,	,	0.0000,	0,	RT2 of TE,	BGN-ENG,	,	,	,	EES01,	2013/06/17 16:26:51,	1,
	201306171626566590,	JCODE,	R3E,	AL,	,	0.0000,	0,	RT3 of EE,	BGN-ENG,	,	,	,	EES01,	2013/06/17 16:27:29,	1,
	201306171627326897,	JCODE,	R3T,	AL,	,	0.0000,	0,	RT3 of TE,	BGN-ENG,	,	,	,	EES01,	2013/06/17 16:27:59,	1,
	201306171628057439,	JCODE,	R3P,	AL,	,	0.0000,	0,	RT3 of PE,	BGN-ENG,	,	,	,	EES01,	2013/06/17 16:28:23,	1,
	201306171628297829,	JCODE,	R4E,	AL,	,	0.0000,	0,	RT4 of EE,	BGN-ENG,	,	,	,	EES01,	2013/06/17 16:28:51,	1,
	201306171628558362,	JCODE,	R4P,	AL,	,	0.0000,	0,	RT4 of PE,	BGN-ENG,	,	,	,	EES01,	2013/06/17 16:29:17,	1,
	201306171629218630,	JCODE,	R4T,	AL,	,	0.0000,	0,	RT4 of TE,	BGN-ENG,	,	,	,	EES01,	2013/06/17 16:30:14,	240705167,
	201306171629459008,	JCODE,	R5E,	AL,	,	0.0000,	0,	RT5 of EE,	BGN-ENG,	,	,	,	EES01,	2013/06/17 16:30:06,	1,
	201306171630189343,	JCODE,	R5P,	AL,	,	0.0000,	0,	RT5 of PE,	BGN-ENG,	,	,	,	EES01,	2013/06/17 16:30:43,	1,
	201306171630469625,	JCODE,	R5T,	AL,	,	0.0000,	0,	RT5 of TE,	BGN-ENG,	,	,	,	EES01,	2013/06/17 16:31:10,	1,
	201309271109022962,	JCODE,	CPL,	AL,	,	0.0000,	0,	Clean Plasma,	BGN-STOP,	,	,	,	EES01,	2013/09/27 11:09:34,	1,
	201409261112222029,	JCODE,	RFE,	AL,	,	2.0000,	5,	Return Front-End,	BGN-ENG,	,	,	,	S6496,	2014/11/20 10:49:25,	402402277,
	201411191127275581,	JCODE,	CE,	AL,	,	0.0000,	0,	CE,	BGN-ENG,	,	,	,	S6496,	2014/11/19 13:47:01,	402064365,
	201412181735078701,	JCODE,	HDS,	AL,	,	0.0000,	0,	Enhance the system prevention for losing execute HDS,	BGN-ENG,	,	,	,	18989,	2014/12/22 10:16:06,	413238652,
	201610201046014891,	JCODE,	WPE,	AL,	,	0.0000,	9,	Wait PE,	BGN-ENG,	,	,	,	13898,	2016/11/08 15:08:03,	619360497,
	201611031416340863,	JCODE,	WTE,	AL,	,	0.0000,	9,	Wait TE,	BGN-ENG,	,	,	,	13898,	2016/11/08 15:07:54,	619360447,
	202104061704594148,	JCODE,	NOC,	AL,	,	0.0,	0,	No DA conditional card (沒有DA條件卡),	BGN-ENG,	,	,	,	25205,	2021/04/07 11:46:03,	1169748316,
	202104061708106176,	JCODE,	LAC,	AL,	,	0.0,	0,	Lack DA conditions card parameters,	BGN-ENG,	,	,	,	25205,	2021/04/07 11:46:12,	1169748346,
	201611111549159969,	JCODE,	WCR,	AL,	,	0.0000,	9,	Wait Custom Release,	BGN-ENG,	,	,	,	13898,	2017/02/15 17:52:09,	653031205,
	201601051634111292,	JCODE,	WRC,	AL,	,	0.0,	9,	Wait Run Card,	BGN-STOP,	,	,	,	21327,	2016/01/12 14:38:49,	522934001,
	201908231722249845,	JCODE,	HOF,	AL,	,	0.0,	9,	Holiday off,	BGN-STOP,	,	,	,	13898,	2019/08/23 17:23:05,	1,
	201702131814566732,	JCODE,	TCR,	AL,	,	1.0,	0,	TE correlation,	BGN-ENG,	,	,	,	13898,	2017/02/20 15:26:07,	654729185,
	201702131816067873,	JCODE,	PSV,	AL,	,	1.0,	0,	PE setup vision program,	BGN-ENG,	,	,	,	13898,	2017/02/20 15:25:47,	654729108,
	201702151605335915,	JCODE,	ETE,	AL,	,	0.0,	0,	TE工程需求借機,	BGN-ENG,	,	,	,	13898,	2018/06/12 17:39:08,	808227960,
	201702151606146425,	JCODE,	EPE,	AL,	,	0.0,	0,	PE 工程批,	BGN-ENG,	,	,	,	13898,	2017/02/15 16:24:30,	653012792,
	201607271752119857,	JCODE,	UE,	AL,	,	0.0,	0,	Unexpected emergencies,	BGN-STOP,	,	,	,	13898,	2016/07/27 17:52:39,	1,
	201710051708578086,	JCODE,	DS,	AL,	,	0.0,	9,	Die shear ink,	BGN-STOP,	,	,	,	21327,	2017/10/06 14:50:22,	729792344,
	201810311007006974,	JCODE,	RTF,	AL,	,	0.0,	9,	Check RT BIN 2 Fail,	BGN-ENG,	,	,	,	13898,	2018/10/31 10:07:47,	1,
	201906111644385276,	JCODE,	PLC,	AL,	,	0.0,	9,	production line change,	BGN-SETUP,	,	,	,	21327,	2019/06/11 16:45:16,	1,
	202001311747442747,	JCODE,	RD,	AL,	,	0.00,	0,	不良品修補,	BGN-STOP,	,	,	,	16919,	2020/01/31 17:48:13,	1,
	202002271656182216,	JCODE,	PJ,	AL,	,	0.0,	0,	專案確認工訓,	BGN-ENG,	,	,	,	13898,	2020/02/27 16:58:22,	1019575670,
	202008311721021744,	JCODE,	TEC,	AL,	,	0.0,	9,	Test Engineer Check / Collect,	BGN-ENG,	,	,	,	25205,	2020/08/31 17:22:04,	1,
	202008311722082347,	JCODE,	DAV,	AL,	,	0.0,	5,	作業中Bin 6 Vision fail,	BGN-ENG,	,	,	,	25205,	2020/08/31 17:22:44,	1,
	202008311722522926,	JCODE,	DT,	AL,	,	0.0,	5,	作業中電性Fail 分析,	BGN-ENG,	,	,	,	25205,	2020/08/31 17:23:21,	1,
	202009041808402044,	JCODE,	WP,	AL,	,	0.0,	5,	WEEKLY PM,	BGN-PM,	,	,	,	21327,	2020/09/04 18:10:03,	1,
	202009171722307272,	JCODE,	CCD1,	AL,	,	0.0,	0,	CCD1/ 整腳,	BGN-ENG,	,	,	,	25205,	2020/09/17 18:01:42,	1088869529,
	202012021557289807,	JCODE,	PEL,	AL,	,	0.0,	0,	PE 借機,	BGN-ENG,	,	,	,	16919,	2020/12/02 15:58:18,	1,
	202012021558260894,	JCODE,	PEC,	AL,	,	0.0,	0,	PE 確認條件卡,	BGN-ENG,	,	,	,	16919,	2020/12/02 15:59:56,	1,
	202102011759407532,	JCODE,	PES,	AL,	,	0.0,	0,	Engr 在場作業 工程批,	BGN-ENG,	,	,	,	16919,	2021/02/01 18:00:57,	1,
	202102171326266910,	JCODE,	MM,	AOST,	,	0.0,	5,	Move Machine,	END-REPAIR,	,	,	,	25205,	2021/02/17 13:26:43,	1,
	201309261735235091,	JCODE,	CKH,	AOST,	,	0.0000,	5,	Change Kit & Hi Fix,	BGN-SETUP,	,	,	,	EES01,	2013/09/26 17:38:31,	269914305,
	201309261736445522,	JCODE,	CCK,	AOST,	,	0.0000,	5,	Change kit,	BGN-SETUP,	,	,	,	EES01,	2013/09/26 17:37:18,	1,
	201309261737355771,	JCODE,	CHF,	AOST,	,	0.0000,	5,	Change Hi Fix,	BGN-SETUP,	,	,	,	EES01,	2013/09/26 17:38:22,	269914287,
	201309301509216977,	JCODE,	WP,	AOST,	,	0.0000,	0,	WPM,	BGN-PM,	,	,	,	24619,	2019/07/17 11:38:46,	936898726,
	201309301509497315,	JCODE,	MP,	AOST,	,	0.0000,	0,	MPM,	BGN-PM,	,	,	,	24619,	2019/07/17 11:38:53,	936898776,
	201309301510147606,	JCODE,	QP,	AOST,	,	0.0000,	0,	QPM,	BGN-PM,	,	,	,	24619,	2019/07/17 11:38:59,	936898780,
	201309301510348022,	JCODE,	AP,	AOST,	,	0.0000,	0,	APM,	BGN-PM,	,	,	,	24619,	2019/07/17 11:39:17,	936898810,
	201309301511058352,	JCODE,	CFD,	AOST,	,	0.0000,	0,	Check fail duts,	END-REPAIR,	,	,	,	EES01,	2013/09/30 15:11:37,	1,
	201309301511398615,	JCODE,	CPF,	AOST,	,	0.0000,	0,	Tester VOH/VOL was fail,	END-REPAIR,	,	,	,	EES01,	2013/09/30 15:11:57,	1,
	201309301512058831,	JCODE,	FDT,	AOST,	,	0.0000,	0,	Facility issue,	END-REPAIR,	,	,	,	EES01,	2013/09/30 15:12:23,	1,
	201309301512349161,	JCODE,	FSC,	AOST,	,	0.0000,	0,	Fail Stop Alarm Remove Bin Check,	END-REPAIR,	,	,	,	EES01,	2013/09/30 15:12:54,	1,
	201309301513039491,	JCODE,	GU1,	AOST,	,	0.0000,	0,	Need to run GU,	END-REPAIR,	,	,	,	EES01,	2013/09/30 15:13:22,	1,
